State,Crop,AVERAGE PHL (%),Avg Rainfall,Avg Humidity,Avg Temp,Risk Score
Jigawa,"Chillies and peppers, dry",30.0,59.61395833333333,43.3025,26.864583333333332,Low
Jigawa,"Chillies and peppers, green",30.0,59.61395833333333,43.3025,26.864583333333332,Low
Jigawa,"Cow peas, dry",30.0,59.61395833333333,43.3025,26.864583333333332,Low
Jigawa,Fonio,30.0,59.61395833333333,43.3025,26.864583333333332,Low
Jigawa,"Groundnuts, excluding shelled",30.0,59.61395833333333,43.3025,26.864583333333332,Low
Jigawa,Melonseed,30.0,59.61395833333333,43.3025,26.864583333333332,Low
Jigawa,Millet,30.0,59.61395833333333,43.3025,26.864583333333332,Low
Jigawa,"Onions and shallots, dry",30.0,59.61395833333333,43.3025,26.864583333333332,Low
Jigawa,"Onions and shallots, green",30.0,59.61395833333333,43.3025,26.864583333333332,Low
Jigawa,Other oil seeds,30.0,59.61395833333333,43.3025,26.864583333333332,Low
Jigawa,Other pulses,30.0,59.61395833333333,43.3025,26.864583333333332,Low
Jigawa,Seed cotton,30.0,59.61395833333333,43.3025,26.864583333333332,Low
Jigawa,Sesame seed,30.0,59.61395833333333,43.3025,26.864583333333332,Low
Jigawa,Sorghum,30.0,59.61395833333333,43.3025,26.864583333333332,Low
Jigawa,Tomatoes,30.0,59.61395833333333,43.3025,26.864583333333332,Low
Kaduna,Carrots and turnips,30.0,233.1084375,66.05520833333334,23.7921875,Low
Kaduna,"Cashew nuts, in shell",30.0,233.1084375,66.05520833333334,23.7921875,Low
Kaduna,"Cassava, fresh",30.0,233.1084375,66.05520833333334,23.7921875,Low
Kaduna,"Chillies and peppers, dry",30.0,233.1084375,66.05520833333334,23.7921875,Low
Kaduna,"Chillies and peppers, green",30.0,233.1084375,66.05520833333334,23.7921875,Low
Kaduna,"Cow peas, dry",30.0,233.1084375,66.05520833333334,23.7921875,Low
Kaduna,"Ginger, raw",30.0,233.1084375,66.05520833333334,23.7921875,Low
Kaduna,Karite nuts (sheanuts),30.0,233.1084375,66.05520833333334,23.7921875,Low
Kaduna,Maize (corn),30.0,233.1084375,66.05520833333334,23.7921875,Low
Kaduna,"Mangoes, guavas and mangosteens",30.0,233.1084375,66.05520833333334,23.7921875,Low
Kaduna,Melonseed,30.0,233.1084375,66.05520833333334,23.7921875,Low
Kaduna,Other fibre crops,30.0,233.1084375,66.05520833333334,23.7921875,Low
Kaduna,Other oil seeds,30.0,233.1084375,66.05520833333334,23.7921875,Low
Kaduna,Other pulses,30.0,233.1084375,66.05520833333334,23.7921875,Low
Kaduna,Rice,30.0,233.1084375,66.05520833333334,23.7921875,Low
Kaduna,Seed cotton,30.0,233.1084375,66.05520833333334,23.7921875,Low
Kaduna,Sesame seed,30.0,233.1084375,66.05520833333334,23.7921875,Low
Kaduna,Soya beans,30.0,233.1084375,66.05520833333334,23.7921875,Low
Kaduna,Tomatoes,30.0,233.1084375,66.05520833333334,23.7921875,Low
Kaduna,Unmanufactured tobacco,30.0,233.1084375,66.05520833333334,23.7921875,Low
Kaduna,Yams,30.0,233.1084375,66.05520833333334,23.7921875,Low
Kano,"Chillies and peppers, dry",30.0,62.90375,45.77114583333333,26.260312499999998,Low
Kano,"Chillies and peppers, green",30.0,62.90375,45.77114583333333,26.260312499999998,Low
Kano,"Cow peas, dry",30.0,62.90375,45.77114583333333,26.260312499999998,Low
Kano,Melonseed,30.0,62.90375,45.77114583333333,26.260312499999998,Low
Kano,Other oil seeds,30.0,62.90375,45.77114583333333,26.260312499999998,Low
Kano,Other pulses,30.0,62.90375,45.77114583333333,26.260312499999998,Low
Kano,Seed cotton,30.0,62.90375,45.77114583333333,26.260312499999998,Low
Kano,Sesame seed,30.0,62.90375,45.77114583333333,26.260312499999998,Low
Kano,Tomatoes,30.0,62.90375,45.77114583333333,26.260312499999998,Low
Katsina,"Chillies and peppers, dry",30.0,96.03000000000002,48.80052083333334,25.631354166666668,Low
Katsina,"Chillies and peppers, green",30.0,96.03000000000002,48.80052083333334,25.631354166666668,Low
Katsina,"Cow peas, dry",30.0,96.03000000000002,48.80052083333334,25.631354166666668,Low
Katsina,Fonio,30.0,96.03000000000002,48.80052083333334,25.631354166666668,Low
Katsina,"Groundnuts, excluding shelled",30.0,96.03000000000002,48.80052083333334,25.631354166666668,Low
Katsina,Melonseed,30.0,96.03000000000002,48.80052083333334,25.631354166666668,Low
Katsina,Millet,30.0,96.03000000000002,48.80052083333334,25.631354166666668,Low
Katsina,"Onions and shallots, dry",30.0,96.03000000000002,48.80052083333334,25.631354166666668,Low
Katsina,"Onions and shallots, green",30.0,96.03000000000002,48.80052083333334,25.631354166666668,Low
Katsina,Other oil seeds,30.0,96.03000000000002,48.80052083333334,25.631354166666668,Low
Katsina,Other pulses,30.0,96.03000000000002,48.80052083333334,25.631354166666668,Low
Katsina,Seed cotton,30.0,96.03000000000002,48.80052083333334,25.631354166666668,Low
Katsina,Sesame seed,30.0,96.03000000000002,48.80052083333334,25.631354166666668,Low
Katsina,Sorghum,30.0,96.03000000000002,48.80052083333334,25.631354166666668,Low
Katsina,Tomatoes,30.0,96.03000000000002,48.80052083333334,25.631354166666668,Low
Kebbi,"Chillies and peppers, dry",30.0,66.52177083333332,52.44052083333333,27.563125,Low
Kebbi,"Chillies and peppers, green",30.0,66.52177083333332,52.44052083333333,27.563125,Low
Kebbi,"Cow peas, dry",30.0,66.52177083333332,52.44052083333333,27.563125,Low
Kebbi,Melonseed,30.0,66.52177083333332,52.44052083333333,27.563125,Low
Kebbi,Other oil seeds,30.0,66.52177083333332,52.44052083333333,27.563125,Low
Kebbi,Other pulses,30.0,66.52177083333332,52.44052083333333,27.563125,Low
Kebbi,Seed cotton,30.0,66.52177083333332,52.44052083333333,27.563125,Low
Kebbi,Sesame seed,30.0,66.52177083333332,52.44052083333333,27.563125,Low
Kebbi,Tomatoes,30.0,66.52177083333332,52.44052083333333,27.563125,Low
Kogi,Carrots and turnips,30.0,108.33854166666667,75.26666666666667,25.712500000000002,Medium
Kogi,"Cashew nuts, in shell",30.0,108.33854166666667,75.26666666666667,25.712500000000002,Medium
Kogi,"Cassava, fresh",30.0,108.33854166666667,75.26666666666667,25.712500000000002,Medium
Kogi,"Ginger, raw",30.0,108.33854166666667,75.26666666666667,25.712500000000002,Medium
Kogi,Green corn (maize),30.0,108.33854166666667,75.26666666666667,25.712500000000002,Medium
Kogi,Karite nuts (sheanuts),30.0,108.33854166666667,75.26666666666667,25.712500000000002,Medium
Kogi,Kenaf,30.0,108.33854166666667,75.26666666666667,25.712500000000002,Medium
Kogi,Maize (corn),30.0,108.33854166666667,75.26666666666667,25.712500000000002,Medium
Kogi,"Mangoes, guavas and mangosteens",30.0,108.33854166666667,75.26666666666667,25.712500000000002,Medium
Kogi,Other fibre crops,30.0,108.33854166666667,75.26666666666667,25.712500000000002,Medium
Kogi,Rice,30.0,108.33854166666667,75.26666666666667,25.712500000000002,Medium
Kogi,Soya beans,30.0,108.33854166666667,75.26666666666667,25.712500000000002,Medium
Kogi,Sugar cane,30.0,108.33854166666667,75.26666666666667,25.712500000000002,Medium
Kogi,Unmanufactured tobacco,30.0,108.33854166666667,75.26666666666667,25.712500000000002,Medium
Kogi,Yams,30.0,108.33854166666667,75.26666666666667,25.712500000000002,Medium
Kwara,Bananas,30.0,74.06145833333333,64.66083333333334,26.602604166666666,Medium
Kwara,Carrots and turnips,30.0,74.06145833333333,64.66083333333334,26.602604166666666,Medium
Kwara,"Cashew nuts, in shell",30.0,74.06145833333333,64.66083333333334,26.602604166666666,Medium
Kwara,"Cassava, fresh",30.0,74.06145833333333,64.66083333333334,26.602604166666666,Medium
Kwara,"Ginger, raw",30.0,74.06145833333333,64.66083333333334,26.602604166666666,Medium
Kwara,Green corn (maize),30.0,74.06145833333333,64.66083333333334,26.602604166666666,Medium
Kwara,Karite nuts (sheanuts),30.0,74.06145833333333,64.66083333333334,26.602604166666666,Medium
Kwara,Kenaf,30.0,74.06145833333333,64.66083333333334,26.602604166666666,Medium
Kwara,Maize (corn),30.0,74.06145833333333,64.66083333333334,26.602604166666666,Medium
